Config,Params,Val_PR_AUC,Val_F1,Val_Precision,Val_Recall,Val_ROC_AUC,Val_Accuracy,Best_Epoch,Epochs_Trained,Val_FPR,Val_FNR
E1_pw=4.0,56129,0.5087150075029894,0.3726618705035971,0.723463687150838,0.250968992248062,0.6921187443000456,0.7970204841713222,1,11,0.030330882352941176,0.749031007751938
E2_BCE_bestpw,56129,0.5087150075029894,0.3726618705035971,0.723463687150838,0.250968992248062,0.6921187443000456,0.7970204841713222,1,11,0.030330882352941176,0.749031007751938
E3_LSTM_64_32,33313,0.5071809576740471,0.31211180124223603,0.78515625,0.19476744186046513,0.6954745924532604,0.7937616387337058,1,11,0.01685049019607843,0.8052325581395349
E2_Focal_g1,56129,0.5068788770947606,0.351729212656365,0.7308868501529052,0.2315891472868217,0.6934784209226326,0.7949255121042831,1,11,0.02696078431372549,0.7684108527131783
E1_pw=5.19,56129,0.5042051480007804,0.39738562091503266,0.6104417670682731,0.29457364341085274,0.6899909097602219,0.7853817504655494,1,11,0.05943627450980392,0.7054263565891473
E1_pw=3.0,56129,0.5037839398296828,0.30708035003977724,0.8577777777777778,0.187015503875969,0.692299242856057,0.7972532588454376,1,11,0.00980392156862745,0.812984496124031
E1_pw=auto,56129,0.503661929914916,0.39712606139777923,0.6092184368737475,0.29457364341085274,0.6906210219068247,0.785148975791434,1,11,0.05974264705882353,0.7054263565891473
E2_Focal_g2,56129,0.5032760810339588,0.3513909224011713,0.718562874251497,0.23255813953488372,0.6928297542369661,0.7937616387337058,1,11,0.028799019607843136,0.7674418604651163
E3_LSTM_LNorm,56257,0.5023689866674105,0.37567567567567567,0.6205357142857143,0.2693798449612403,0.6930648773559812,0.7849162011173184,1,11,0.052083333333333336,0.7306201550387597
E3_LSTM_Attn,22914,0.5021122305744532,0.23129251700680273,0.9444444444444444,0.13178294573643412,0.6921858375133,0.7895716945996276,1,11,0.0024509803921568627,0.8682170542635659
E3_LSTM_128_64,123969,0.5019064890173239,0.3218390804597701,0.7692307692307693,0.20348837209302326,0.695483795504636,0.7939944134078212,1,11,0.019301470588235295,0.7965116279069767
E1_pw=2.0,56129,0.4957272997386232,0.18022747156605423,0.9279279279279279,0.0998062015503876,0.6943224297955617,0.7818901303538175,1,11,0.0024509803921568627,0.9001937984496124
E2_BCE_noweight,56129,0.4950040194411334,0.0871177015755329,1.0,0.045542635658914726,0.6984128892593858,0.7707169459962756,1,11,0.0,0.9544573643410853
E1_pw=1.0,56129,0.49487279016278546,0.1532976827094474,0.9555555555555556,0.08333333333333333,0.6910203155874753,0.7788640595903166,1,11,0.0012254901960784314,0.9166666666666666
E3_LSTM_Skip,24001,0.4791417802059591,0.2522671063478978,0.8453038674033149,0.14825581395348839,0.6644614968080256,0.7888733705772812,1,11,0.00857843137254902,0.8517441860465116
