threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr
0.05,0.24045623836126628,0.24027939464493597,1.0,0.38746010887929416,0.6921187443000456,0.5087150075029894,0.9996936274509803,0.0
0.06,0.24162011173184358,0.24055944055944056,1.0,0.3878241262683202,0.6921187443000456,0.5087150075029894,0.9981617647058824,0.0
0.07,0.24767225325884543,0.24202626641651032,1.0,0.38972809667673713,0.6921187443000456,0.5087150075029894,0.9901960784313726,0.0
0.08,0.25837988826815644,0.24466571834992887,1.0,0.3931428571428571,0.6921187443000456,0.5087150075029894,0.9761029411764706,0.0
0.09,0.27211359404096835,0.24813657129117575,1.0,0.3976112502408014,0.6921187443000456,0.5087150075029894,0.9580269607843137,0.0
0.1,0.2851489757914339,0.251523275651962,1.0,0.40194741966893865,0.6921187443000456,0.5087150075029894,0.9408700980392157,0.0
0.11,0.30121042830540035,0.2554617676266137,0.997093023255814,0.4067193675889328,0.6921187443000456,0.5087150075029894,0.9188112745098039,0.0029069767441860465
0.12,0.31890130353817503,0.25940040650406504,0.9893410852713178,0.4110305958132045,0.6921187443000456,0.5087150075029894,0.8930759803921569,0.01065891472868217
0.13,0.3438081936685289,0.2656700760555993,0.9815891472868217,0.4181630546955624,0.6921187443000456,0.5087150075029894,0.8578431372549019,0.018410852713178296
0.14,0.3719739292364991,0.27227993439037723,0.9651162790697675,0.42473347547974416,0.6921187443000456,0.5087150075029894,0.8155637254901961,0.03488372093023256
0.15,0.4047951582867784,0.2793053545586107,0.935077519379845,0.43013149097392467,0.6921187443000456,0.5087150075029894,0.7628676470588235,0.06492248062015504
0.16,0.43202979515828677,0.2832512315270936,0.8914728682170543,0.42990654205607476,0.6921187443000456,0.5087150075029894,0.7132352941176471,0.10852713178294573
0.17,0.46019553072625696,0.28936170212765955,0.8565891472868217,0.43259114264741866,0.6921187443000456,0.5087150075029894,0.6651348039215687,0.1434108527131783
0.18,0.4883612662942272,0.29658060013956733,0.8236434108527132,0.4361210877373012,0.6921187443000456,0.5087150075029894,0.6176470588235294,0.17635658914728683
0.19,0.5251396648044693,0.3089461713419257,0.7897286821705426,0.444141689373297,0.6921187443000456,0.5087150075029894,0.5585171568627451,0.21027131782945738
0.2,0.5470204841713222,0.314378554021121,0.75,0.4430452203777905,0.6921187443000456,0.5087150075029894,0.5171568627450981,0.25
