History_Length,Feature_Set,Num_Features,Val_PR_AUC
5,SET_A,15,0.337319698227179
5,SET_B,30,0.3771648231889696
5,SET_C,35,0.2915004485897701
10,SET_A,15,0.42768581868229893
10,SET_B,30,0.36125693363174977
10,SET_C,35,0.3248024332853093
20,SET_A,15,0.5307264140597008
20,SET_B,30,0.49048867874167135
20,SET_C,35,0.39911863956470106
30,SET_A,15,0.4819041584128621
30,SET_B,30,0.31185100712342007
30,SET_C,35,0.3597793187043018
