attack_type,num_transitions,mean_preattack_prob,median_preattack_prob,max_preattack_prob,mean_during_attack_prob,median_during_attack_prob,num_cross_before,perc_cross_before,num_cross_after_only,num_never_cross
Benign,198,0.3526938048266627,0.3393049091100693,0.9963167905807495,0.35614175275156296,0.32377171516418457,1,0.5050505050505051,0,197
DDOS attack-HOIC,1,0.11006905138492584,0.11006905138492584,0.11006905138492584,0.3864721357822418,0.3864721357822418,0,0.0,0,1
DDOS attack-LOIC-UDP,21,0.8455906476648081,0.8869134187698364,0.9489564299583435,0.9224929128374372,0.9413527250289917,0,0.0,0,21
DoS attacks-GoldenEye,2,0.02341885957866907,0.02341885957866907,0.030975937843322754,0.07287312671542168,0.07287312671542168,0,0.0,0,2
DoS attacks-Hulk,1,0.005360580049455166,0.005360580049455166,0.005360580049455166,0.5446959733963013,0.5446959733963013,0,0.0,0,1
DoS attacks-SlowHTTPTest,1,0.04083101451396942,0.04083101451396942,0.04083101451396942,0.7133316993713379,0.7133316993713379,0,0.0,0,1
DoS attacks-Slowloris,1,0.009995590895414352,0.009995590895414352,0.009995590895414352,0.2554498612880707,0.2554498612880707,0,0.0,0,1
