step,horizon_seconds,roc_auc,pr_auc,f1,precision,recall
1,10.0,0.8589485054611365,0.7053670441890822,0.37648272305312014,0.23204068658614113,0.9972677595628415
2,20.0,0.8582271724908731,0.7070796620593452,0.3766769865841073,0.2321882951653944,0.9972677595628415
3,30.0,0.8567681929065484,0.704111675789924,0.37731958762886597,0.23252858958068615,1.0
4,40.0,0.8576675065838127,0.7143095309544903,0.37731958762886597,0.23252858958068615,1.0
5,50.0,0.8573992986700123,0.7102122285864891,0.3781555899021123,0.2331639135959339,1.0
