,LogisticRegression,CyberCast
precision,0.26397869912514266,0.2327007299270073
recall,0.8696741854636592,0.9987468671679198
f1,0.4050189670265538,0.37745678427658064
roc_auc,0.731875411658014,0.8633385306259459
pr_auc,0.4050089179518536,0.7117341324363442
fpr,0.544456949915588,0.7394485087225662
fnr,0.13032581453634084,0.0012531328320802004
