model,epoch,train_loss,val_loss,val_f1,val_pr_auc,val_roc_auc
LSTM,1,0.6809387686810676,1.6194321022314184,0.3411675511751327,0.4994200380217032,0.6833645643334854
LSTM,2,0.5119659610235008,2.6207995969966493,0.23853211009174313,0.4955756847670835,0.6875448277663778
LSTM,3,0.4756420405142626,2.560501323081553,0.2723609991941982,0.502450235750117,0.6909711831680347
LSTM,4,0.454595796716441,2.2889329619048273,0.2906520031421838,0.4902423445821982,0.6827441005471957
LSTM,5,0.42345580031537705,2.1569831563324176,0.39585605234460197,0.48931861196604454,0.6937934027777778
LSTM,6,0.392521747168462,3.0644915409057454,0.36363636363636365,0.48099094270479387,0.6793060186768506
LSTM,7,0.3849665352445879,1.9635135031798308,0.42897998093422307,0.4768385030074346,0.6920252294231646
LSTM,8,0.3786366800688634,2.9355689487146104,0.3747016706443914,0.4745250190708655,0.6743074258530932
GRU,1,0.6867060122216583,1.4075232001350206,0.24790619765494137,0.47833572984105094,0.6906278499772001
GRU,2,0.5432552693850675,2.0906495881431244,0.23837700760777683,0.502133655658212,0.6885298511361909
GRU,3,0.5018371215481667,1.9665849981555605,0.2694805194805195,0.49744276285587835,0.6888277628153975
GRU,4,0.47092507141316015,1.8900369808406514,0.23745819397993312,0.48490167767442616,0.6811276291039672
GRU,5,0.4440407151724123,2.3093396620824933,0.2504118616144975,0.4813257598640051,0.6731609037752698
GRU,6,0.42432680495890085,2.4842012528439654,0.25144747725392885,0.48216076592475215,0.6807500071249429
GRU,7,0.4135967806029092,1.7364766289863516,0.2669826224328594,0.4709180683225773,0.68050672000874
GRU,8,0.4070583666633269,2.277626967824557,0.2870022539444027,0.47362125328215954,0.674876679111567
TCN,1,0.7968747919532144,1.6880090324317707,0.1851528384279476,0.476981443816116,0.6815813989113086
TCN,2,0.6637004968846679,2.0600224192089893,0.21070811744386875,0.4993454265554703,0.6859403796644628
TCN,3,0.6093878796335997,1.9011367065284182,0.23109600679694137,0.5116048309053299,0.702952813877489
TCN,4,0.5710762536544709,1.8806084094788222,0.23539373412362405,0.5136044728436553,0.7101320845683234
TCN,5,0.562159970165438,1.7893140975057202,0.23089983022071306,0.5091719323508224,0.7034885205293357
TCN,6,0.5411917081304417,1.8116516098380089,0.23688663282571912,0.5066400388861307,0.7014114512083904
TCN,7,0.5331706175473845,1.9310331588391871,0.23389830508474577,0.5059826299250596,0.697367007001444
TCN,8,0.5260810597212451,1.8541795696570154,0.23837700760777683,0.5099301434053903,0.6976129659712722
Transformer,1,0.6679719952261371,1.454398203860311,0.324455205811138,0.43482988360426733,0.6450550817468461
Transformer,2,0.5499696690755286,2.6177872766138,0.24877250409165302,0.481775926598192,0.6783975884442924
Transformer,3,0.4972176028854528,2.6030186914893636,0.29256965944272445,0.4700434323562936,0.6662540137178903
Transformer,4,0.46985906751672174,2.771790841649122,0.32767527675276753,0.46009891659834606,0.6449394498594012
Transformer,5,0.4500756521418596,2.4245716072071124,0.38426453819840367,0.47206754790288574,0.6800547314371486
Transformer,6,0.4268584032394704,3.145355999497149,0.3410958904109589,0.4731108055589258,0.668795540260678
Transformer,7,0.4101002552564357,2.5949910125585602,0.3902439024390244,0.46918704683820006,0.6605003253723971
Transformer,8,0.4081378558733661,3.4030944173607756,0.3560500695410292,0.47929734363326915,0.6712260364417084
Attention_LSTM,1,0.7230439420528473,1.4722196323906673,0.3745019920318725,0.49194683499155034,0.6871453856494149
Attention_LSTM,2,0.5392945694980348,2.2850093039519646,0.23686405337781485,0.49002433440585824,0.6806897419820641
Attention_LSTM,3,0.4918696645196456,2.3418658883584773,0.3018268467037331,0.4976191957585404,0.6855222345721235
Attention_LSTM,4,0.46439461905960067,1.963699949987452,0.2863961813842482,0.4905866914382018,0.6825407427990575
Attention_LSTM,5,0.4428967719862036,2.08592011872679,0.3652173913043478,0.486325340811238,0.6789141468118255
Attention_LSTM,6,0.41756539478613314,2.762131450971698,0.36027397260273974,0.48166870435228215,0.6694168946648427
Attention_LSTM,7,0.4024427070691707,2.023612674955717,0.38727076591154264,0.46952562579260154,0.6730755528955769
Attention_LSTM,8,0.3991211479778882,2.791918290203766,0.35964912280701755,0.47519672660879275,0.670173029240766
