,threshold,total_benign,false_positives,fp_rate,fp_near_attack,fp_far_from_attack
operational,0.45,3554.0,2567.0,0.7222847495779403,40.0,2527.0
research,0.72,3554.0,493.0,0.13871693866066404,24.0,469.0
