Model,Params,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Val_PR_AUC
LSTM,56129,0.7977188081936686,0.7839721254355401,0.2180232558139535,0.3411675511751327,0.6833645643334854,0.4994200380217032
Attention_LSTM,56194,0.7807262569832403,0.5949367088607594,0.27325581395348836,0.3745019920318725,0.6871453856494149,0.49194683499155034
GRU,42625,0.7909683426443203,0.9135802469135802,0.1434108527131783,0.24790619765494137,0.6906278499772001,0.47833572984105094
TCN,11073,0.7828212290502793,0.9380530973451328,0.10271317829457365,0.1851528384279476,0.6815813989113086,0.476981443816116
Transformer,26273,0.7402234636871509,0.432258064516129,0.2596899224806202,0.324455205811138,0.6450550817468461,0.43482988360426733
Logistic_Regression,151,0.7860800744878957,0.834319526627219,0.13662790697674418,0.23480432972522897,0.6584614041837664,0.43299133276857527
XGBoost,200,0.7744413407821229,0.68,0.11531007751937984,0.19718309859154928,0.6638698296663627,0.4267819586032491
Random_Forest,183424,0.7597765363128491,0.0,0.0,0.0,0.6674952381630948,0.42046195758528015
