model,feature_count,history_windows,val_pr_auc,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall,test_fpr,test_fnr
Phase 2 LSTM,~70,20,N/A,0.7371,N/A,0.6887,N/A,N/A,N/A,N/A
Phase 2.2 Champion,15,20,0.5307,0.5571,0.8001,0.4592,0.444,0.4756,0.1099,0.5244
Phase 2.3 Champion,89,20,0.6080773187071661,0.7308947272126661,0.8878096800656275,0.7017543859649122,0.8045977011494253,0.6222222222222222,0.02789171452009844,0.37777777777777777
