Horizon_Windows,Horizon_Seconds,PR_AUC
1,10,0.7308947272126661
2,20,0.7317348563135787
3,30,0.7350277986080432
4,40,0.7394138720173927
5,50,0.7405877750721551
6,60,0.7402527532465697
7,70,0.7400281342200706
8,80,0.7409928453129536
9,90,0.7439792712816331
10,100,0.7475169542295487
11,110,0.7501877628426478
12,120,0.7500361266150515
13,130,0.7482952995019725
14,140,0.7468661064903919
15,150,0.7467589501965027
16,160,0.746034013566112
17,170,0.744535637048138
18,180,0.7411726661940357
19,190,0.736229026092069
20,200,0.7304584703151137
21,210,0.7268000084739318
22,220,0.7247991727057397
23,230,0.722593921222415
24,240,0.7201979164046575
25,250,0.717493492868929
26,260,0.7137509303141405
27,270,0.7106465312623236
28,280,0.7088055888642504
29,290,0.706532624210876
30,300,0.7030890736303719
