current_path,filename,file_size,SHA256,architecture,phase,experiment,feature_set,history_length,referenced_production,referenced_dashboard,referenced_notebooks,classification
models/phase2_3/scaler_SET_R_h10.joblib,scaler_SET_R_h10.joblib,2703,befc139033dddcef3d5a6c393fe84aac8be2a6c2a40c0c9465e0ae5b9bdd2f6d,Scaler,Phase 2.3,EXPERIMENTAL,SET_R,10,False,False,False,EXPERIMENTAL
models/phase2_3/scaler_SET_R_h20.joblib,scaler_SET_R_h20.joblib,2703,befc139033dddcef3d5a6c393fe84aac8be2a6c2a40c0c9465e0ae5b9bdd2f6d,Scaler,Phase 2.3,DUPLICATE,SET_R,20,True,False,False,DUPLICATE
models/phase2_3/scaler_SET_R_h30.joblib,scaler_SET_R_h30.joblib,2703,befc139033dddcef3d5a6c393fe84aac8be2a6c2a40c0c9465e0ae5b9bdd2f6d,Scaler,Phase 2.3,DUPLICATE,SET_R,30,False,False,False,DUPLICATE
models/phase2_3/scaler_SET_R_h5.joblib,scaler_SET_R_h5.joblib,2703,befc139033dddcef3d5a6c393fe84aac8be2a6c2a40c0c9465e0ae5b9bdd2f6d,Scaler,Phase 2.3,DUPLICATE,SET_R,5,False,False,False,DUPLICATE
models/phase2_3/scaler_SET_R_Repro_1_h20.joblib,scaler_SET_R_Repro_1_h20.joblib,2703,befc139033dddcef3d5a6c393fe84aac8be2a6c2a40c0c9465e0ae5b9bdd2f6d,Scaler,Phase 2.3,DUPLICATE,SET_R,20,False,False,False,DUPLICATE
models/phase2_3/scaler_SET_R_Repro_2_h20.joblib,scaler_SET_R_Repro_2_h20.joblib,2703,befc139033dddcef3d5a6c393fe84aac8be2a6c2a40c0c9465e0ae5b9bdd2f6d,Scaler,Phase 2.3,DUPLICATE,SET_R,20,False,False,False,DUPLICATE
models/phase2_3/scaler_SET_R_SELECT_h20.joblib,scaler_SET_R_SELECT_h20.joblib,1543,fd169c2d76ab536cd6bccc7d6be682caed1e37f47f8289a135fe2edf10a77375,Scaler,Phase 2.3,BASELINE,SET_R_SELECT,20,False,False,False,BASELINE
models/feature_scaler.pkl,feature_scaler.pkl,1100,c3c4a93ff99ba85858aa525c54d0cff66d49f682e56bdcd59ec6fd2210a49127,Scaler,Phase 1 / Legacy,LEGACY,Unknown,Unknown,False,False,True,LEGACY
models/logistic_regression.pkl,logistic_regression.pkl,1583,4d67a735fbc5a59b9af6043bc355b6b1dbdd94b79b2ac8ee8a1bc4cd56da41dd,Scaler,Phase 1 / Legacy,LEGACY,Unknown,Unknown,False,False,True,LEGACY
models/scaler.pkl,scaler.pkl,2703,785befe54c583d189b3d8e63be72d2cf7c4775cbcb404de6c295acdd2622ff3d,Scaler,Phase 1 / Legacy,LEGACY,Unknown,Unknown,False,False,True,LEGACY
